# dt  blad_BME  blad_PME  blad_PMT  p_BME  p_PME  p_PMT
5.000000000000000e-01  nan  4.761768777463926e-02  1.363649962080448e-01  0.000000  0.000000  0.000000
2.500000000000000e-01  nan  1.176795273375537e-01  6.287602821800187e-02  0.000000  -1.305294  1.116891
1.250000000000000e-01  nan  1.360748725149175e-01  2.247198781396142e-02  0.000000  -0.209537  1.484382
6.250000000000000e-02  nan  7.759534035117466e-02  1.304345415915931e-02  0.000000  0.810359  0.784802
3.125000000000000e-02  5.368051516024797e-02  4.211078465152873e-02  3.004069908082663e-03  0.000000  0.881780  2.118336
1.562500000000000e-02  2.558806492518007e-02  2.262350749334918e-02  8.024055490760684e-04  1.068927  0.896367  1.904515
7.812500000000000e-03  1.236492984988247e-02  1.163046594671435e-02  1.996219443540781e-04  1.049217  0.959914  2.007061
3.906250000000000e-03  6.083661995494705e-03  5.900454944419264e-03  4.987626664498812e-05  1.023242  0.979011  2.000845
1.953125000000000e-03  3.018071915641851e-03  2.972295584040996e-03  1.247992524433528e-05  1.011313  0.989249  1.998744
9.765625000000000e-04  1.503289169036970e-03  1.491815948474695e-03  3.119750184632508e-06  1.005505  0.994508  2.000107
4.882812500000000e-04  7.501996267631483e-04  7.473350795821343e-04  7.799231023231101e-07  1.002776  0.997242  2.000027
2.441406250000000e-04  3.747418656445678e-04  3.740252662547405e-04  1.949839867343428e-07  1.001377  0.998620  1.999976
1.220703125000000e-04  1.872811512666495e-04  1.871020018062719e-04  4.874594061732296e-08  1.000691  0.999311  2.000002
6.103515625000000e-05  9.361817865283228e-05  9.357339850102342e-05  1.218648648659837e-08  1.000345  0.999655  2.000000
3.051757812500000e-05  4.680348858165928e-05  4.679229354542791e-05  3.046624508229456e-09  1.000173  0.999828  1.999999
1.525878906250000e-05  2.340034484338283e-05  2.339754598024157e-05  7.616649533304098e-10  1.000086  0.999914  1.999983
7.629394531250000e-06  1.169982252169355e-05  1.169912281739904e-05  1.904194579793739e-10  1.000043  0.999957  1.999976
3.814697265625000e-06  5.849823798254050e-06  5.849648870404067e-06  4.760014604698881e-11  1.000022  0.999978  2.000143
1.907348632812500e-06  2.924890020850057e-06  2.924846304264150e-06  1.189803811030288e-11  1.000011  0.999989  2.000242
9.536743164062500e-07  1.462439550792283e-06  1.462428617982070e-06  2.993605363599272e-12  1.000005  0.999995  1.990768
4.768371582031250e-07  7.312184058250182e-07  7.312156558025862e-07  2.200684079411985e-12  1.000003  0.999997  0.443932
2.384185791015625e-07  3.656088718440031e-07  3.656081744018991e-07  4.361178085332540e-12  1.000001  0.999999  -0.986766
