# x = 1.0
# n  blad_lewa  blad_prawa  blad_srodek  blad_trapezy  blad_simpson
       2  1.608800800657639e-01  1.957557547716950e-01  8.771806335946097e-03  1.743783735296556e-02  4.020370932662498e-04
       4  8.482594320085490e-02  9.349197421787447e-02  2.169872098616188e-03  4.333015508509841e-03  3.525843964202746e-05
       8  4.349790764973549e-02  4.566105105962914e-02  5.409967859821840e-04  1.081571704946827e-03  2.242896240622905e-06
      16  2.201945221785884e-02  2.256002713682359e-02  1.351569225667149e-04  2.702874594823212e-04  1.406223393285444e-07
      32  1.107730457021283e-02  1.121243510712833e-02  3.378345892557366e-05  6.756526845774768e-05  8.795217110169062e-09
      64  5.555544014568925e-03  5.589325824101765e-03  8.445503928755649e-06  1.689090476642008e-05  5.497977628721173e-10
     128  2.781994759249007e-03  2.790440160086449e-03  2.111353430644947e-06  4.222700418776704e-06  3.436373408050031e-11
     256  1.392053056340048e-03  1.394164403327514e-03  5.278369490380186e-07  1.055673493732812e-06  2.148170530347215e-12
     512  6.962904466449871e-04  6.968182831889047e-04  1.319591492743299e-07  2.639182719033073e-07  1.348920974919565e-13
    1024  3.482112028964091e-04  3.483431620204813e-04  3.298978090704452e-08  6.597956203613364e-08  6.550315845288424e-15
    2048  1.741220963389356e-04  1.741550861193986e-04  8.247444727160769e-09  1.649489012045535e-08  1.665334536937735e-15
    4096  8.706517189349672e-05  8.707341933578139e-05  2.061862347524368e-09  4.123721142335057e-09  7.771561172376096e-16
