# x = 2.0
# n  blad_lewa  blad_prawa  blad_srodek  blad_trapezy  blad_simpson
       2  5.481643994971545e-01  5.595477822442659e-01  2.390603140121406e-03  5.691691373555741e-03  5.883021764162488e-02
       4  2.752775013186380e-01  2.785785895520724e-01  7.983934554287586e-04  1.650544116717279e-03  3.034950311041618e-04
       8  1.380379473870333e-01  1.388900980483219e-01  2.113549381314028e-04  4.260753306443155e-04  1.791906862003145e-05
      16  6.912465116258193e-02  6.933937155509518e-02  5.357496241698012e-05  1.073601962564563e-04  1.121818127503005e-06
      32  3.458911306249923e-02  3.464289829633938e-02  1.343973830292278e-05  2.689261691990463e-05  7.009047420236669e-08
      64  1.730127640040113e-02  1.731472927901834e-02  3.362809033569114e-06  6.726439308657461e-06  4.380104723367140e-09
     128  8.652319604716907e-03  8.655683234992662e-03  8.408819049954275e-07  1.681815137710707e-06  2.737472470926150e-10
     256  4.326580243311451e-03  4.327421176543611e-03  2.102317036012380e-07  4.204666159690618e-07  1.710898089868351e-11
     512  2.163395237508414e-03  2.163605472418895e-03  5.255862922659560e-08  1.051174551847112e-07  1.069144772714026e-12
    1024  1.081723898067710e-03  1.081776456896111e-03  1.313970054983571e-08  2.627941408928081e-08  6.605826996519681e-14
    2048  5.408685188844631e-04  5.408816585974474e-04  3.284926886060191e-09  6.569856547677944e-09  7.993605777301127e-15
    4096  2.704359019044533e-04  2.704391868363354e-04  8.212306390475987e-10  1.642465830009598e-09  3.552713678800501e-15
