# h  blad_MR  blad_strzaly  p_MR  p_strzaly
5.000000000000000e-01  5.495175701193489e-02  5.495175701193500e-02  0.000000  0.000000
2.500000000000000e-01  1.318586928992171e-02  1.318586928992166e-02  2.059173  2.059173
1.250000000000000e-01  3.415687726671196e-03  3.415687726671057e-03  1.948745  1.948745
6.250000000000000e-02  8.503276674533544e-04  8.503276674527160e-04  2.006085  2.006085
3.125000000000000e-02  2.123600396379544e-04  2.123600396389813e-04  2.001507  2.001507
1.562500000000000e-02  5.312752393787923e-05  5.312752393732412e-05  1.998981  1.998981
7.812500000000000e-03  1.328098668679223e-05  1.328098669042821e-05  2.000097  2.000097
3.906250000000000e-03  3.320190774869225e-06  3.320190790995214e-06  2.000024  2.000024
1.953125000000000e-03  8.300442148612142e-07  8.300441838304806e-07  2.000006  2.000006
9.765625000000000e-04  2.075107625454375e-07  2.075107897736572e-07  2.000002  2.000002
4.882812500000000e-04  5.187756355051754e-08  5.187752669111312e-08  2.000004  2.000005
2.441406250000000e-04  1.296988608179284e-08  1.296930698946319e-08  1.999945  2.000008
1.220703125000000e-04  3.246319657534968e-09  3.244799040569291e-09  1.998289  1.998900
6.103515625000000e-05  7.900474996436202e-10  8.008791407831950e-10  2.038794  2.018473
3.051757812500000e-05  1.661605297798019e-10  2.256306808057218e-10  2.249362  1.827621
1.525878906250000e-05  1.154254469781790e-10  1.397297832994582e-10  0.525616  0.691324
7.629394531250000e-06  1.146330808055041e-10  1.727602505496861e-10  0.009938  -0.306132
3.814697265625000e-06  1.499751434153040e-09  6.137489405588781e-10  -3.709628  -1.828877
