# x  y_dokladne  y_MR  y_strzaly
0.000000000000000e+00  2.000000000000004e+00  2.000000000000000e+00  2.000000000000000e+00
2.500000000000000e-02  1.778568455575045e+00  1.778544428417768e+00  1.778544428417768e+00
5.000000000000000e-02  1.572274241747797e+00  1.572229476120750e+00  1.572229476120750e+00
7.500000000000001e-02  1.379875907103111e+00  1.379813335767783e+00  1.379813335767783e+00
1.000000000000000e-01  1.200226381802819e+00  1.200148618362260e+00  1.200148618362260e+00
1.250000000000000e-01  1.032265548213877e+00  1.032174920387158e+00  1.032174920387159e+00
1.500000000000000e-01  8.750133859508734e-01  8.749119656785549e-01  8.749119656785557e-01
1.750000000000000e-01  7.275636465988961e-01  7.274532772744652e-01  7.274532772744661e-01
2.000000000000000e-01  5.890780168563560e-01  5.889603379520369e-01  5.889603379520381e-01
2.250000000000000e-01  4.587807320409416e-01  4.586572013720492e-01  4.586572013720506e-01
2.500000000000000e-01  3.359536048563705e-01  3.358255187063220e-01  3.358255187063235e-01
2.750000000000000e-01  2.199314370424111e-01  2.197999483504018e-01  2.197999483504035e-01
3.000000000000000e-01  1.100977840435874e-01  1.099639188386129e-01  1.099639188386146e-01
3.250000000000000e-01  5.881045149508516e-03  5.745717397737160e-03  5.745717397738851e-03
3.500000000000000e-01  -9.324914630291242e-02  -9.338512128560142e-02  -9.338512128559970e-02
3.750000000000000e-01  -1.877852561039529e-01  -1.879211495363030e-01  -1.879211495363012e-01
4.000000000000000e-01  -2.781849273431239e-01  -2.783200860343150e-01  -2.783200860343132e-01
4.250000000000000e-01  -3.648738235231336e-01  -3.650076599861662e-01  -3.650076599861645e-01
4.500000000000000e-01  -4.482482550141602e-01  -4.483802385333203e-01  -4.483802385333185e-01
4.750000000000000e-01  -5.286776058210699e-01  -5.288072543794748e-01  -5.288072543794732e-01
5.000000000000000e-01  -6.065065763213985e-01  -6.066334493032670e-01  -6.066334493032653e-01
5.250000000000000e-01  -6.820572564194403e-01  -6.821809480095651e-01  -6.821809480095634e-01
5.500000000000000e-01  -7.556310424436391e-01  -7.557511756536890e-01  -7.557511756536873e-01
5.750000000000001e-01  -8.275104100833963e-01  -8.276266313411574e-01  -8.276266313411555e-01
6.000000000000001e-01  -8.979605547106001e-01  -8.980725289541548e-01  -8.980725289541526e-01
6.250000000000000e-01  -9.672309095543914e-01  -9.673383157786015e-01  -9.673383157785991e-01
6.500000000000000e-01  -1.035556551389238e+00  -1.035659078596743e+00  -1.035659078596740e+00
6.750000000000000e-01  -1.103159502650849e+00  -1.103256846164235e+00  -1.103256846164232e+00
7.000000000000001e-01  -1.170249938207161e+00  -1.170341796302921e+00  -1.170341796302918e+00
7.250000000000001e-01  -1.237027304377737e+00  -1.237113375206312e+00  -1.237113375206310e+00
7.500000000000000e-01  -1.303681357210624e+00  -1.303761335970102e+00  -1.303761335970100e+00
7.750000000000000e-01  -1.370393126486925e+00  -1.370466702820951e+00  -1.370466702820950e+00
8.000000000000000e-01  -1.437335811426622e+00  -1.437402667019798e+00  -1.437402667019797e+00
8.250000000000001e-01  -1.504675613611289e+00  -1.504735419957774e+00  -1.504735419957773e+00
8.500000000000001e-01  -1.572572512217185e+00  -1.572624928540440e+00  -1.572624928540440e+00
8.750000000000000e-01  -1.641180986263102e+00  -1.641225657566734e+00  -1.641225657566735e+00
9.000000000000000e-01  -1.710650688218693e+00  -1.710687243450140e+00  -1.710687243450141e+00
9.250000000000000e-01  -1.781127072988399e+00  -1.781155123298868e+00  -1.781155123298870e+00
9.500000000000001e-01  -1.852751985981444e+00  -1.852771123066985e+00  -1.852771123066987e+00
9.750000000000001e-01  -1.925664213697641e+00  -1.925674008207552e+00  -1.925674008207554e+00
1.000000000000000e+00  -2.000000000000004e+00  -2.000000000000000e+00  -2.000000000000003e+00
